focal_method,test_prefix,docstring
,"@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      NotificationMgrSQLStatements.SqlStatements notificationMgrSQLStatements_SqlStatements0 = NotificationMgrSQLStatements.SqlStatements.DROP_TABLE_EVENT_LISTENERS;
      String string0 = notificationMgrSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      DataContractManagerSQLStatements.SqlStatements dataContractManagerSQLStatements_SqlStatements0 = DataContractManagerSQLStatements.SqlStatements.DELETE_DATACONTRACT;
      String string0 = dataContractManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
"public static Renderer getRenderer(String type)
	{
		String classname = (String)RENDERERS_CLASSNAMES.get(type.toLowerCase());
		if (null == classname)
		{
			return null;
		}
		
		try
		{
			Class klass = Class.forName(classname);
			return (Renderer)klass.newInstance();
		}
		catch (Exception e)
		{
			throw new RuntimeException(e);
		}
	}","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      // Undeclared exception!
      try { 
        XhtmlRendererFactory.getRenderer(""c++"");
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
      }
  }","Instantiates an instance of a known <code>XhtmlRenderer<code> according to the type that's provided.@param type The type of renderer, look at the static variables of this class to see which ones are supported. @return an instance of the <code>XhtmlRenderer<code> that corresponds to the type; or <p><code>null<code> if the type wasn't known @since 1.0"
"public static String nanosToText(final long nanos) {
        if (nanos < 0) {
            throw new IllegalArgumentException(""Non negative value expected, but "" + nanos + "" found."");
        }

        long time = nanos;
        boolean wasZero = true;
        final StringBuilder output = new StringBuilder();
        final long nanosOnly = time % 1000;
        if (nanosOnly != 0 || time == 0) {
            output.append(nanosOnly);
            output.append("" Nanosekunde"" + (nanosOnly == 1 ? """" : ""n""));
            wasZero = false;
        }
        time /= 1000;
        final long micro = time % 1000;
        if (time > 0 && (micro > 0 || !wasZero)) {
            output.insert(0, micro + "" Mikrosekunde"" + (micro == 1 ? """" : ""n"") + (wasZero ? """" : "", ""));
            wasZero = false;
        }
        time /= 1000;
        final long millis = time % 1000;
        if (time > 0 && (millis > 0 || !wasZero)) {
            output.insert(0, millis + "" Millisekunde"" + (millis == 1 ? """" : ""n"") + (wasZero ? """" : "", ""));
            wasZero = false;
        }
        time /= 1000;
        final long secs = time % 60;
        if (time > 0 && (secs > 0 || !wasZero)) {
            output.insert(0, secs + "" Sekunde"" + (secs == 1 ? """" : ""n"") + (wasZero ? """" : "", ""));
            wasZero = false;
        }
        time /= 60;
        final long minutes = time % 60;
        if (time > 0 && (minutes > 0 || !wasZero)) {
            output.insert(0, minutes + "" Minute"" + (minutes == 1 ? """" : ""n"") + (wasZero ? """" : "", ""));
            wasZero = false;
        }
        time /= 60;
        final long hours = time % 24;
        if (time > 0 && (hours > 0 || !wasZero)) {
            output.insert(0, hours + "" Stunde"" + (hours == 1 ? """" : ""n"") + (wasZero ? """" : "", ""));
            wasZero = false;
        }
        time /= 24;
        if (time > 0) {
            output.insert(0, time + "" Tag"" + (time == 1 ? """" : ""e"") + (wasZero ? """" : "", ""));
        }
        return output.toString();
    }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      String string0 = TimeFormatterHelper.nanosToText(5410L);
      assertEquals(""5 Millisekunden, 410 Mikrosekunden, 410 Nanosekunden"", string0);
  }","Erstellt eine ausformulierte Zeitspanne auf Basis von Nanosekunden. Kann z.B. bei der Ausgabe von Laufzeiten in Log-Nachrichten verwendet werden. Eine Ausgabe hat z.B. die Form ""1 Tag, 0 Stunden, 4 Minuten, 12 Sekunden, 134 Millisekunden, 423 Mikrosekunden, 1 Nanosekunde"" oder ""1 Minute, 12 Sekunden"". @param nanos Zeitspanne in Nanosekunden. @return Textuelle Repräsentation der Zeitspanne. @see System#nanoTime()"
"public static String decode(byte[] bytes) {
        char[] digits = new char[bytes.length * 2];
        int charPos = digits.length - 1;// LSB

        for (int bytePos = bytes.length - 1; bytePos >= 0; bytePos--) {
            digits[charPos--] = (char) ((bytes[bytePos] & 0x0f) + 48);
            digits[charPos--] = (char) (((bytes[bytePos] & 0xf0) >> 4) + 48);
        }
        return new String(digits);
    }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      byte[] byteArray0 = new byte[7];
      String string0 = Bcd.decode(byteArray0);
      assertEquals(""?0?0?0?0?0?0?0"", string0);
  }",@param bytes @return the decoded BCD digits as StringLSB
"@Override
    public double evaluate(double accelerometerMse, double gyroscopeMse,
                           double magnetometerMse) {
        return accelerometerMse + gyroscopeMse + magnetometerMse;
    }","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      DefaultAccelerometerGyroscopeAndMagnetometerMseRule defaultAccelerometerGyroscopeAndMagnetometerMseRule0 = new DefaultAccelerometerGyroscopeAndMagnetometerMseRule();
      double double0 = defaultAccelerometerGyroscopeAndMagnetometerMseRule0.evaluate((-2231.183592207725), (-2231.183592207725), 67.392);
      assertEquals(67.392, double0, 0.01);
  }","Evaluates provided accelerometer calibration MSE, gyroscope calibration MSE and magnetometer calibration MSE in order to obtain a single MSE value representing all three of them.@param accelerometerMse accelerometer calibration MSE. @param gyroscopeMse gyroscope calibration MSE. @param magnetometerMse magnetometer calibration MSE. @return single MSE value."
"public static String generateHash(String pwd) {
		String encryptedPwd=""00000000"";
		String password = pwd;
		
		// if there is no password or the length is 0, then skip this and return ""00000000"" as default
		// otherwise process the password
		if(password != null && password.length() > 0) {
			// Truncate the password to 15 characters.
			if(password.length() > 15) {
				password = password.substring(0,15);
			}

			// compute key's high-order word
			// initialize to table value
			int hi = initialCodeArray[password.length()-1];
			
			int idxF = 0;	// forward index
			int idxR = password.length()-1; // reverse index
			// process each character left to right.
			// check each bit and if it is set, xor the hi word with 
			// the table entry for the position in password and bit position.
			for(; idxF<password.length(); idxF++,idxR--) {
				int ch = password.charAt(idxF);
				if((ch & 0x0001)!= 0) {
					hi ^= encryptionMatrix[idxR][0];
				}
				if((ch & 0x0002)!= 0) {
					hi ^= encryptionMatrix[idxR][1];
				}
				if((ch & 0x0004)!= 0) {
					hi ^= encryptionMatrix[idxR][2];
				}
				if((ch & 0x0008)!= 0) {
					hi ^= encryptionMatrix[idxR][3];
				}
				if((ch & 0x0010)!= 0) {
					hi ^= encryptionMatrix[idxR][4];
				}
				if((ch & 0x0020)!= 0) {
					hi ^= encryptionMatrix[idxR][5];
				}
				if((ch & 0x0040)!= 0) {
					hi ^= encryptionMatrix[idxR][6];
				}
			}
			// Compute Key's low-order word
			idxF = password.length()-1;
			int lo = 0;
			// low order word is computed in reverse.
			for(;idxF>= 0; idxF--) {
				int ch = password.charAt(idxF);
				lo = (((lo >> 14) & 0x001) | (( lo << 1) & 0x7fff)) ^ ch;
			}
			// finally incorporate the password length into the low word and use value from formula
			lo = (((lo >> 14) & 0x001) | (( lo << 1) & 0x7fff)) ^ password.length() ^ 0xCE4B;
			
			// correct for little-endian - 
			// Java always uses big-endian. According to tests - RTF wants little-endian but is not documented
			encryptedPwd = Integer.toHexString(lo).substring(2,4) + Integer.toHexString(lo).substring(0,2);
			encryptedPwd += Integer.toHexString(hi).substring(2,4) + Integer.toHexString(hi).substring(0,2);
		}
		return encryptedPwd;
	}","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      String string0 = RtfProtection.generateHash(""s<x!=ElSF.2Xo"");
      assertEquals(""73f8d1a6"", string0);
  }","<code>generateHash<code> generates the password hash from a clear text string. @param pwd Clear text string input @return hex encoded password hash @since 2.1.1if there is no password or the length is 0, then skip this and return ""00000000"" as default
otherwise process the password"
"public static String getParent( String path )
    {
        int i = path.lastIndexOf( FILE_SEPARATOR );

        if ( i == -1 )
        {
            return null;
        }

        return path.substring( 0, i );
    }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      // Undeclared exception!
      try { 
        PathUtils.getParent("""");
        fail(""Expecting exception: StringIndexOutOfBoundsException"");
      
      } catch(StringIndexOutOfBoundsException e) {
      }
  }",Gets the parent path of the given UNIX path. @param path the path. @return the parent path.
"public static final String toASCII(String in) {
        try {
            return IDN.toASCII(in);
        } catch (Exception e) {
            // let's continue with the character by character encoding hack.
        }
        final StringBuilder sb = new StringBuilder();
        for (int i=0;i<in.length();i++) {
            try {
                sb.append(IDN.toASCII(in.substring(i, i + 1)));
            }
            catch (Exception e) {}
        }
        if (sb.length() == 0) {
            throw new RuntimeException(""Unable to convert "" + in + "" to ASCII"");
        }
        return sb.toString();
    }","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      // Undeclared exception!
      try { 
        FakerIDN.toASCII("""");
        fail(""Expecting exception: RuntimeException"");
      
      } catch(RuntimeException e) {
         //
         // Unable to convert  to ASCII
         //
         verifyException(""com.github.javafaker.service.FakerIDN"", e);
      }
  }",{@link IDN#toASCII(String)} is too picky for our needs. It was throwing exceptions for fa.yml and he.yml as they're Bidi languages and something was causing them to die. This is kind of a brute force fix but it appears to fix the issue. @param in input @return ascii
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      AccountMgrSQLStatements.SqlStatements accountMgrSQLStatements_SqlStatements0 = AccountMgrSQLStatements.SqlStatements.EXISTS_ACCOUNT_BY_ID;
      AccountMgrSQLStatements.SqlStatements.loadStatements();
      String string0 = accountMgrSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      ClassManagerSQLStatements.SqlStatements classManagerSQLStatements_SqlStatements0 = ClassManagerSQLStatements.SqlStatements.DELETE_PROPERTY_BY_ID;
      String string0 = classManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      LinkedList<CDARichMark> linkedList0 = new LinkedList<CDARichMark>();
      CDARichText cDARichText0 = new CDARichText((CharSequence) null, linkedList0);
      CharSequence charSequence0 = cDARichText0.getText();
      assertNull(charSequence0);
  }",
"protected T calculate(FormulaEvaluatorConfiguration conf, T v1, T v2) {
    switch (conf.getDefaultNullHandling()) {
      case NULL:
        return v1 == null || v2 == null ? null : calculateDefault(conf, v1, v2);
      case ZERO:
        return calculateDefault(conf, v1 == null ? zero() : v1, v2 == null ? zero() : v2);
      default:
        if (v1 == null || v2 == null) {
          throw new FormulaEvaluatorNullArgumentException(this.getOperatorName(), asList(v1, v2));
        }
        return calculateDefault(conf, v1, v2);
    }
  }","@Test(timeout = 4000)
  public void test5()  throws Throwable  {
      Double double0 = new Double((-627.446132564));
      ConstantTerm<Double> constantTerm0 = new ConstantTerm<Double>(double0);
      DoubleModuloOperator doubleModuloOperator0 = new DoubleModuloOperator(constantTerm0, constantTerm0);
      FormulaEvaluatorConfiguration formulaEvaluatorConfiguration0 = new FormulaEvaluatorConfiguration();
      FormulaEvaluatorConfiguration.DefaultNullHandling formulaEvaluatorConfiguration_DefaultNullHandling0 = FormulaEvaluatorConfiguration.DefaultNullHandling.NULL;
      formulaEvaluatorConfiguration0.setDefaultNullHandling(formulaEvaluatorConfiguration_DefaultNullHandling0);
      Double double1 = doubleModuloOperator0.evaluate((VariableValueProvider<Double>) null, formulaEvaluatorConfiguration0);
      assertNull(double1);
  }",Implementation for this operator.@param conf the configuration. @param v1 Operand 1. @param v2 Operand 2. @return The result of the operation.
"public static String fromByte(byte model) {
        if (Arrays.asList(UNSUPPORTED_MAKE).contains(model)) {
            return UnsupportedDevice;
        }

        if (Arrays.asList(INVALID_MAKES).contains(model)) {
            return InvalidDevice;
        }
        if (model < MAKE_NAME_LOOKUP_TABLE.length) {
            return MAKE_NAME_LOOKUP_TABLE[model];
        }

        return UnknownDevice;
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      String string0 = AcceptorModel.fromByte((byte)3);
      assertEquals(""Unsupported Device"", string0);
  }",Retrieve model name from lookup table using standard acctype code@param model byte @return String
"@Override
    public double evaluate(double accelerometerMse, double gyroscopeMse) {
        return accelerometerMse + gyroscopeMse;
    }","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      DefaultAccelerometerAndGyroscopeMseRule defaultAccelerometerAndGyroscopeMseRule0 = new DefaultAccelerometerAndGyroscopeMseRule();
      double double0 = defaultAccelerometerAndGyroscopeMseRule0.evaluate(0.0, 0.0);
      assertEquals(Double.NaN, double0, 0.01);
  }",Evaluates provided accelerometer calibration MSE and gyroscope calibration MSE in order to obtain a single MSE value representing both.@param accelerometerMse accelerometer calibration MSE. @param gyroscopeMse gyroscope calibration MSE. @return single MSE value.
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      SessionManagerSQLStatements.SqlStatements sessionManagerSQLStatements_SqlStatements0 = SessionManagerSQLStatements.SqlStatements.SELECT_EXT_SESSION;
      sessionManagerSQLStatements_SqlStatements0.getSqlStatement();
      String string0 = sessionManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      InterfaceManagerSQLStatements.SqlStatements interfaceManagerSQLStatements_SqlStatements0 = InterfaceManagerSQLStatements.SqlStatements.DELETE_INTERFACE;
      InterfaceManagerSQLStatements.SqlStatements.loadStatements();
      String string0 = interfaceManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
,"@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      ContractManagerSQLStatements.SqlStatements contractManagerSQLStatements_SqlStatements0 = ContractManagerSQLStatements.SqlStatements.SELECT_IFACEINCONTRACT;
      String string0 = contractManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
"public static Method getFirstMethod(Class cls, String methodName){
       for (Method m : cls.getMethods()){
           if (m.getName().equals(methodName)){
               return m;
           }
       }
       return null;
    }","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      Class<Object> class0 = Object.class;
      Method method0 = ClassUtil.getFirstMethod(class0, ""equals"");
      assertNull(method0);
  }",Convenient getter that get the first method with this given name (disregard arguments). Should be use in testing only code. @param cls @param methodName @return
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      NodeDistance nodeDistance0 = new NodeDistance((TreeNode) null, (TreeNode) null, 1077.259);
      assertEquals(0.0, nodeDistance0.distance, 0.01);
  }",
"public static boolean containsIgnoreCase(String[] array, String value) {
    for (String str : array) {
      if (value == null && str == null) {
        return true;
      }
      if (value != null && value.equalsIgnoreCase(str)) {
        return true;
      }
    }
    return false;
  }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      String[] stringArray0 = new String[3];
      String[] stringArray1 = new String[5];
      stringArray1[0] = """";
      // Undeclared exception!
      try { 
        StringUtil.containsIgnoreCase(stringArray1, stringArray0[0]);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
      }
  }",Check if the given array contains the given value (with case-insensitive comparison).@param array The array @param value The value to search @return true if the array contains the value
"static public long calculateChecksum(byte[] buf) {
    int length = buf.length;
    int i = 0;

    long sum = 0;
    long data;

    // Handle all pairs
    while (length > 1) {
      // Corrected to include @Andy's edits and various comments on Stack Overflow
      data = (((buf[i] << 8) & 0xFF00) | ((buf[i + 1]) & 0xFF));
      sum += data;
      // 1's complement carry bit correction in 16-bits (detecting sign extension)
      if ((sum & 0xFFFF0000) > 0) {
        sum = sum & 0xFFFF;
        sum += 1;
      }

      i += 2;
      length -= 2;
    }

    // Handle remaining byte in odd length buffers
    if (length > 0) {
      // Corrected to include @Andy's edits and various comments on Stack Overflow
      sum += (buf[i] << 8 & 0xFF00);
      // 1's complement carry bit correction in 16-bits (detecting sign extension)
      if ((sum & 0xFFFF0000) > 0) {
        sum = sum & 0xFFFF;
        sum += 1;
      }
    }

    // Final 1's complement value correction to 16-bits
    sum = ~sum;
    sum = sum & 0xFFFF;
    return sum;

  }","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      byte[] byteArray0 = new byte[7];
      byteArray0[4] = (byte) (-79);
      byteArray0[6] = (byte) (-122);
      long long0 = Checksum.calculateChecksum(byteArray0);
      assertEquals(14079L, long0);
  }","http:stackoverflow.comquestions4113890how-to-calculate-the-internet-checksum-from-a-byte-in-javaHandle all pairs
Handle remaining byte in odd length buffers
Final 1's complement value correction to 16-bits"
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      LogicMetadataSQLStatements.SqlStatements logicMetadataSQLStatements_SqlStatements0 = LogicMetadataSQLStatements.SqlStatements.EXISTS_STORAGE_LOCATION_BY_HOSTPORT;
      logicMetadataSQLStatements_SqlStatements0.getSqlStatement();
      String string0 = logicMetadataSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
"public static void main(final String[] args) throws Exception {
		if (args.length != 2) {
			Util.finishErr(
					""Bad arguments. Usage: \n\n "" + GetNamespaces.class.getSimpleName() + "" <user_name> <user_pass> \n"",
					ERRCODE.ERROR);
			return;
		}
		try {
			Util.init();

			final String applicantName = args[0];
			final String applicantPass = args[1];

			// Check account
			final AccountID accountID = ClientManagementLib.getAccountID(applicantName);
			if (accountID == null) {
				Util.finishErr(""Invalid account"", ERRCODE.ERROR);
				return;
			}
			final PasswordCredential credential = new PasswordCredential(applicantPass);

			// Get available public namespaces
			final Set<String> namespaces = ClientManagementLib.getNamespaces(accountID, credential);
			String msg = ""Available namespaces:\n"";
			for (final String namespace : namespaces) {
				msg += namespace + ""\n"";
			}

			Util.finishOut(msg);
		} catch (final Exception ex) {
			Util.finishErr(""Exception caught. Check your account and credentials."", ERRCODE.ERROR);
		}
		System.exit(0); // Call this to finish logging threads
	}","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      String[] stringArray0 = new String[2];
      // Undeclared exception!
      try { 
        GetNamespaces.main(stringArray0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // es/bsc/dataclay/commonruntime/DataClayRuntime
         //
         verifyException(""es.bsc.dataclay.tool.GetNamespaces"", e);
      }
  }",Call this to finish logging threads
"public CMAField setName(String name) {
    this.name = name;
    return this;
  }","@Test(timeout = 4000)
  public void test03()  throws Throwable  {
      CMAField cMAField0 = new CMAField();
      CMAField cMAField1 = cMAField0.setName("""");
      assertNull(cMAField1.getName());
  }",Sets the name for this field.@param name the name to be set @return this {@code CMAField} instance
,"@Test(timeout = 4000)
  public void test23()  throws Throwable  {
      ReferenceMap<Object, DataInputStream> referenceMap0 = new ReferenceMap<Object, DataInputStream>();
      AbstractReferenceMap.ReferenceEntrySet<Object, DataInputStream> abstractReferenceMap_ReferenceEntrySet0 = new AbstractReferenceMap.ReferenceEntrySet<Object, DataInputStream>(referenceMap0);
      // Undeclared exception!
      try { 
        abstractReferenceMap_ReferenceEntrySet0.toArray();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.jivesoftware.smack.util.collections.AbstractReferenceMap$ReferenceIteratorBase"", e);
      }
  }",
"private static double getAngleBetweenOrientations(
            final double[] orientation1, final double[] orientation2) {
        if (orientation1.length != INHOM_COORDS ||
                orientation2.length != INHOM_COORDS) {
            throw new IllegalArgumentException();
        }

        final double x1 = orientation1[0];
        final double y1 = orientation1[1];
        final double z1 = orientation1[2];

        final double x2 = orientation2[0];
        final double y2 = orientation2[1];
        final double z2 = orientation2[2];

        final double norm1 = Math.sqrt(x1 * x1 + y1 * y1 + z1 * z1);
        final double norm2 = Math.sqrt(x2 * x2 + y2 * y2 + z2 * z2);

        final double dotProduct = (x1 * x2 + y1 * y2 + z1 * z2) / (norm1 * norm2);

        return Math.acos(dotProduct);
    }","@Test(timeout = 4000)
  public void test00()  throws Throwable  {
      InhomogeneousPoint3D inhomogeneousPoint3D0 = new InhomogeneousPoint3D();
      HomogeneousPoint3D homogeneousPoint3D0 = new HomogeneousPoint3D((-1.0), 4, (-1468.5), (-1850.050979));
      InhomogeneousPoint3D inhomogeneousPoint3D1 = homogeneousPoint3D0.toInhomogeneous();
      Triangle3D triangle3D0 = new Triangle3D(inhomogeneousPoint3D1, inhomogeneousPoint3D0, homogeneousPoint3D0);
      List<Point3D> list0 = triangle3D0.getVertices();
      homogeneousPoint3D0.setInhomZ(0.0);
      double double0 = Polygon3D.getAngleBetweenPolygons(list0, list0);
      assertEquals(1.51540468358567, double0, 0.01);
  }","Internal method to compute polygon orientation from their respective orientation vectors. Orientation vectors are provided as arrays and can be obtained by calling orientation(Polygon3D, double[]) among other methods.@param orientation1 Orientation of 1st polygon. @param orientation2 Orientation of 2nd polygon. @return Angle between two polygons in radians. @throws IllegalArgumentException Raised if any of the orientation arrays do not have length 3."
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      ExecutionEnvironmentID executionEnvironmentID0 = new ExecutionEnvironmentID(""O-t{^@"");
      StorageLocationID storageLocationID0 = new StorageLocationID(executionEnvironmentID0.id);
      ExecutionEnvironmentPersistentInfo executionEnvironmentPersistentInfo0 = new ExecutionEnvironmentPersistentInfo(executionEnvironmentID0, storageLocationID0);
      StorageLocationID storageLocationID1 = executionEnvironmentPersistentInfo0.getStorageLocationID();
      assertNull(storageLocationID1);
  }",
"public void center(final Point3D result) {
        center(mVertex1, mVertex2, mVertex3, result);
    }","@Test(timeout = 4000)
  public void test27()  throws Throwable  {
      InhomogeneousPoint3D inhomogeneousPoint3D0 = new InhomogeneousPoint3D();
      Triangle3D triangle3D0 = new Triangle3D(inhomogeneousPoint3D0, inhomogeneousPoint3D0, inhomogeneousPoint3D0);
      // Undeclared exception!
      try { 
        triangle3D0.closestPoint((Point3D) inhomogeneousPoint3D0, (Point3D) inhomogeneousPoint3D0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/irurueta/algebra/AlgebraException
         //
         verifyException(""com.irurueta.geometry.Triangle3D"", e);
      }
  }",Computes the center of this triangle and stores the result in provided point. The center of this triangle is computed as the average of its vertices.@param result Point instance where center will be stored.
"public static boolean isAtBottomSide(
            final double x, final double y, final double left,
            final double top, final double right, final double bottom, final double threshold) {
        final double bottom2 = Math.min(top, bottom);
        final double left2 = Math.min(left, right);
        final double right2 = Math.max(left, right);

        return y < (bottom2 + threshold) && x >= (left2 + threshold) &&
                x <= (right2 - threshold);
    }","@Test(timeout = 4000)
  public void test073()  throws Throwable  {
      Rectangle rectangle0 = new Rectangle();
      double double0 = rectangle0.getDistance(1.0, 1.0);
      assertEquals(1.5, double0, 0.01);
  }","Indicates if provided point coordinates are located at bottom side of rectangle defined by provided top-left and bottom-right corners up to a certain threshold. A positive threshold moves bottom border upwards, a negative threshold moves bottom border downwards@param x x coordinate of point to be checked. @param y y coordinate of point to be checked. @param left left coordinate of rectangle. @param top top coordinate of rectangle. @param right right coordinate of rectangle. @param bottom bottom coordinate of rectangle. @param threshold threshold to use as a margin to determine whether point lies at bottom side or not. @return true if point is at bottom side, false otherwise."
"@SuppressWarnings( ""unchecked"" )
    public static <K, T> List<K> createList( List<T> list, String valueMethod )
    {
        List<K> valueList = new ArrayList<>( list.size() );

        if ( list.isEmpty() )
        {
            return valueList;
        }

        Class<?> elementClass = list.iterator().next().getClass();

        Method getValueMethod;

        try
        {
            getValueMethod = elementClass.getMethod( valueMethod, new Class[0] );
        }
        catch ( Exception e )
        {
            throw new RuntimeException( ""Failed to get key method"", e );
        }

        for ( T element : list )
        {
            K value;

            try
            {
                value = (K) getValueMethod.invoke( element, (Object[]) null );
            }
            catch ( Exception e )
            {
                throw new RuntimeException( ""Failed to get key"", e );
            }

            valueList.add( value );
        }

        return valueList;
    }","@Test(timeout = 4000)
  public void test07()  throws Throwable  {
      LinkedList<String> linkedList0 = new LinkedList<String>();
      linkedList0.add(""ZgtA],]!"");
      Predicate<String> predicate0 = (Predicate<String>) mock(Predicate.class, new ViolatedAssumptionAnswer());
      doReturn(false).when(predicate0).evaluate(anyString());
      CollectionUtils.filter((Collection<String>) linkedList0, predicate0);
      assertEquals(1, linkedList0.size());
  }","Creates a list of values extracted from the provided list using the specified value method, keeping the order of the provided list.@param list the List. @param valueMethod the name of the method to obtain the value. @param <K> key type. @param <T> value type. @return an ordered List of the obtained values."
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      DataSetManagerSQLStatements.SqlStatements dataSetManagerSQLStatements_SqlStatements0 = DataSetManagerSQLStatements.SqlStatements.CREATE_TABLE_DATASET;
      DataSetManagerSQLStatements.SqlStatements.loadStatements();
      String string0 = dataSetManagerSQLStatements_SqlStatements0.getSqlStatement();
      assertNull(string0);
  }",
"private JTextField createSaturationField() {
        saturationField = new JTextField(3);
        saturationField.getDocument().addDocumentListener(
                new SimpleDocumentListener(docEvent -> documentUpdated(docEvent, Field.SATURATION)));
        saturationField.setInputVerifier(inputVerifier255);
        return saturationField;
    }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      ColorChooserPanel colorChooserPanel0 = null;
      try {
        colorChooserPanel0 = new ColorChooserPanel();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""de.chrlembeck.util.swing.components.ColorChooserPanel"", e);
      }
  }",Erstellt und konfiguriert das Eingabefeld für den HSV-Farbsättigungswert der Farbe. @return Fertig konfiguriertes Eingabefeld.
,"@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      CDAEntry cDAEntry0 = new CDAEntry();
      HashMap<String, Object> hashMap0 = new HashMap<String, Object>();
      cDAEntry0.fields = (Map<String, Object>) hashMap0;
      hashMap0.put("""", cDAEntry0.fields);
      // Undeclared exception!
      try { 
        cDAEntry0.getField("""");
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contentful.java.cda.LocalizedResource$Localizer"", e);
      }
  }",
"public long getNumberFreeUnits(long startTime, long endTime) {
		Collection<ProfileEntry> avail = profile.getAvailability(startTime, endTime);
		long units = 0;
		Iterator<ProfileEntry> it = avail.iterator();
		ProfileEntry prev = it.next();
		
		while (it.hasNext()) {
			ProfileEntry curr = it.next();
			
			if (curr.getTime() < startTime) {
				prev = curr;
				continue;
			}
			
			if (curr.getTime() > endTime) {
				break;
			}
			
			units += (curr.getTime() - prev.getTime()) * prev.getNumResources();
			prev = curr;
		}
		
		units += (endTime - Math.min(endTime, prev.getTime())) * prev.getNumResources();
		return units;
	}","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      DefaultResourcePool defaultResourcePool0 = null;
      try {
        defaultResourcePool0 = new DefaultResourcePool(540);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/google/common/base/Preconditions
         //
         verifyException(""me.marcosassuncao.servsim.SimEntity"", e);
      }
  }",Returns the number of simulation units over which resources have been free. This is useful for computing resource utilisation. @param startTime start time to consider when computing the units @param endTime end time to consider when computing the units @return the number of free resource units
